"provisional_unit_label","source_file","last_observation_status","termination_event_status","termination_reason","censoring_class","capacity_failure_threshold","esr_failure_threshold","soh_definition","rul_label_status","rul_eval_status","benchmark_l_status","evidence"
"ES10C1","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES10C2","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES10C3","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES10C4","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES10C5","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES10C6","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES10C7","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES10C8","ES10.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C1","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C2","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C3","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C4","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C5","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C6","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C7","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES12C8","ES12.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C1","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C2","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C3","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C4","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C5","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C6","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C7","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
"ES14C8","ES14.mat","not_proven_failure","unknown","unknown","unknown_not_even_right_censor_confirmed","unknown_not_frozen","unknown_not_frozen","unknown_not_frozen","absent_not_identifiable_from_sequence_end","blocked","blocked","No named termination or failure field; final observation is not EOL proof"
