"provisional_unit_label","source_file","condition_label","condition_nominal_vo","condition_evidence_level","eis_present","eis_event_count","transient_present","transient_shape","serial_date_shape","transient_alignment_status","physical_identity_status","physical_independence_status","trajectory_eval_status","rul_eval_status","evidence"
"ES10C1","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[75826,400];VO=[75826,400]","[75826,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES10/EIS_Data/ES10C1 and /ES10/Transient_Data/ES10C1; path labels do not prove physical identity"
"ES10C2","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[75826,400];VO=[75826,400]","[75826,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES10/EIS_Data/ES10C2 and /ES10/Transient_Data/ES10C2; path labels do not prove physical identity"
"ES10C3","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[75826,400];VO=[75826,400]","[75826,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES10/EIS_Data/ES10C3 and /ES10/Transient_Data/ES10C3; path labels do not prove physical identity"
"ES10C4","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[75826,400];VO=[75826,400]","[75826,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES10/EIS_Data/ES10C4 and /ES10/Transient_Data/ES10C4; path labels do not prove physical identity"
"ES10C5","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[75826,400];VO=[75826,400]","[75826,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES10/EIS_Data/ES10C5 and /ES10/Transient_Data/ES10C5; path labels do not prove physical identity"
"ES10C6","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[75826,400];VO=[75826,400]","[75826,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES10/EIS_Data/ES10C6 and /ES10/Transient_Data/ES10C6; path labels do not prove physical identity"
"ES10C7","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[75826,400];VO=[75826,400]","[75826,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES10/EIS_Data/ES10C7 and /ES10/Transient_Data/ES10C7; path labels do not prove physical identity"
"ES10C8","ES10.mat","ES10","10","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","false","absent","[75826,1]","missing_transient_modality","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Path /ES10/EIS_Data/ES10C8 exists; /ES10/Transient_Data/ES10C8 absent; path label does not prove physical identity"
"ES12C1","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C1 and /ES12/Transient_Data/ES12C1; path labels do not prove physical identity"
"ES12C2","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C2 and /ES12/Transient_Data/ES12C2; path labels do not prove physical identity"
"ES12C3","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C3 and /ES12/Transient_Data/ES12C3; path labels do not prove physical identity"
"ES12C4","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C4 and /ES12/Transient_Data/ES12C4; path labels do not prove physical identity"
"ES12C5","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C5 and /ES12/Transient_Data/ES12C5; path labels do not prove physical identity"
"ES12C6","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C6 and /ES12/Transient_Data/ES12C6; path labels do not prove physical identity"
"ES12C7","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C7 and /ES12/Transient_Data/ES12C7; path labels do not prove physical identity"
"ES12C8","ES12.mat","ES12","12","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77237,400];VO=[77237,400]","[77241,1]","blocked_off_by_4_serial_date_longer","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES12/EIS_Data/ES12C8 and /ES12/Transient_Data/ES12C8; path labels do not prove physical identity"
"ES14C1","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C1 and /ES14/Transient_Data/ES14C1; path labels do not prove physical identity"
"ES14C2","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C2 and /ES14/Transient_Data/ES14C2; path labels do not prove physical identity"
"ES14C3","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C3 and /ES14/Transient_Data/ES14C3; path labels do not prove physical identity"
"ES14C4","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C4 and /ES14/Transient_Data/ES14C4; path labels do not prove physical identity"
"ES14C5","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C5 and /ES14/Transient_Data/ES14C5; path labels do not prove physical identity"
"ES14C6","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C6 and /ES14/Transient_Data/ES14C6; path labels do not prove physical identity"
"ES14C7","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C7 and /ES14/Transient_Data/ES14C7; path labels do not prove physical identity"
"ES14C8","ES14.mat","ES14","14","inferred_high_confidence_from_sparse_VO_and_header_path","true","73","true","VL=[77241,400];VO=[77241,400]","[77241,1]","aligned_by_shape_metadata_only","inferred_provisional_trajectory_label","unknown_not_proven_distinct_physical_device","conditional_parser_development_only_not_released_eval","blocked_unknown_termination_and_no_frozen_RUL_label","Paths /ES14/EIS_Data/ES14C8 and /ES14/Transient_Data/ES14C8; path labels do not prove physical identity"
