item_id,content_type,condition,provisional_unit,event_index,sorted_replicate_rank,signal_kind,dtype,shape,content_sha256,sample_sha256
eis:ES10:ES10C1:e000:r000,eis_matrix,ES10,ES10C1,0,9,,<f8,"[59,18]",4ef1701245b0d4d16d2d665c7fee6b2db4f389ae018942a2be8fa9f195d54054,e88c0389dcd49ba9e6bc000c4c1153c082e21e68d4a5855b6b821998c432ad6f
eis:ES10:ES10C1:e000:r001,eis_matrix,ES10,ES10C1,0,10,,<f8,"[59,18]",b520fb6440969bf45d4de285d7af03bfdaf6ecedc6bfeb17e25e676637cc3934,3cc8ff465c73b5a6d27d947998a6ef3b50b702fa34a166ff06d2c4df558bbb27
eis:ES10:ES10C1:e000:r002,eis_matrix,ES10,ES10C1,0,11,,<f8,"[59,18]",941b1e9db326943c11fafa2ade5d11f9d3c1e6c1c14dc27e87c7138d220af983,44079d1bb97bcff01c28b864dc9b6865ec1860f05fbcbeade79608aeff057a61
eis:ES10:ES10C1:e000:r003,eis_matrix,ES10,ES10C1,0,12,,<f8,"[59,18]",0405fc094788cc45f3a96dda10bb337c11918b8664c2bc9a02f0701f16ff41ea,d704fdae9abe63dd957a3dfd12493b8a9de5170e94e0d1faaf89b3338b59b249
eis:ES10:ES10C1:e000:r004,eis_matrix,ES10,ES10C1,0,13,,<f8,"[59,18]",32d09485d76066aabc5f8001652cd5b5d95207f98a1132790bdbc36131d43468,594169a5f4a2ec281635eebf0cc3b7aaee7e69fdb9e440baaaa1d30ef4c37db2
eis:ES10:ES10C1:e000:r005,eis_matrix,ES10,ES10C1,0,14,,<f8,"[59,18]",ca87a16ad2e3915179b69db260d45900b1c099d954391a647ec260187198b8ed,4ef771a54da379b4d8c20281ad565537ae8dea1ec4400374c51093288a5907f9
eis:ES10:ES10C1:e000:r006,eis_matrix,ES10,ES10C1,0,0,,<f8,"[59,18]",27db47a650a6bab65a1505c5e4ad249752619cd3dd44c3f315f1a21d45a5e3b9,e98c49c136128ab65be4e65659dfc2b09cef54395ec0d2ce4786c42d4570ea5b
eis:ES10:ES10C1:e000:r007,eis_matrix,ES10,ES10C1,0,1,,<f8,"[59,18]",6e251f6450a93c7184f7dde46a7b25807f846d4456878d7ffcfc2e9dcf38d857,11a8656af79959702498a5bc75952d5f58e206f99938822ad406de71ec819915
eis:ES10:ES10C1:e000:r008,eis_matrix,ES10,ES10C1,0,2,,<f8,"[59,18]",c234ab029175fdc761b1fc8ee8a20f466c1b002f81415e6e24c370e4604394c0,60ed65648e33d50e77eb75f1f4ab6cee6cde0e690e65f4a1f8d254e788b333b4
eis:ES10:ES10C1:e000:r009,eis_matrix,ES10,ES10C1,0,3,,<f8,"[59,18]",b76386af81224523d048e912d5e1441214c4d14b223614093262340aec023c8f,f951b8b056d9e30f92b6aa65a3e6c2a8a5bb996af46b5138a223c770f35ac903
eis:ES10:ES10C1:e000:r010,eis_matrix,ES10,ES10C1,0,4,,<f8,"[59,18]",5560712880bb035430ae9e5a1162ce03ff39a18e36f220734bdb432dc6cd1273,82109b8a8e4b59b2dabc71f50cb8f8c2aa9203172d423a074ad4ece268ea0020
eis:ES10:ES10C1:e000:r011,eis_matrix,ES10,ES10C1,0,5,,<f8,"[59,18]",1325bc87598635870f31256eb7b5ef41f11547e8014bec2bce249a2a103727e0,863bce79d97ef1115ef2bc5e1dad217a4342b337e5e73a5d504dfc9148d2838b
eis:ES10:ES10C1:e000:r012,eis_matrix,ES10,ES10C1,0,6,,<f8,"[59,18]",cbe8ce50a9c2b707f0a7c7064cff6dda4cf624d6642541e6c8a5aee8508cbe87,9ad343ca130b3c9b14fa3ac0c2555e8d8a1365bc1fa0cc80c8085aee7ff4dff2
eis:ES10:ES10C1:e000:r013,eis_matrix,ES10,ES10C1,0,7,,<f8,"[59,18]",f1cd3caa48e9a324253e772610e685ab2c9eba8c5e6a8a17d578c43b1f6b594c,bed509058115e63c0d1e73866b0d0606a7cad50eeee85926775c7c5a8192eae2
eis:ES10:ES10C1:e000:r014,eis_matrix,ES10,ES10C1,0,8,,<f8,"[59,18]",e43305a8ebe58666f7463567b908e5b25dcd095c2979b8916a0d1e7db438d37b,e3416aec3b481cd25657aef49152898a3f7d2bba91ea8667a71a7badacbd23f3
eis:ES10:ES10C1:e000:r015,eis_matrix,ES10,ES10C1,0,15,,<f8,"[59,18]",e887a269e8b3aa55a6fbbbdbe0c6d5a74c5d41a9d063b45fad4319fe5904a4a8,a6daf5c94dfcd9ca867d1c6852a5206b90df1efd76b3016e801118e0a7d98a3c
eis:ES10:ES10C1:e000:r016,eis_matrix,ES10,ES10C1,0,16,,<f8,"[59,18]",e1fd75e86def3957744b073d47436035bb0bd07307967151d4fe80ff7f699c78,f01c41833c4046233a67d4003ad7cb0ae55614feeffaa99bb5a8248276e8c43a
eis:ES10:ES10C1:e000:r017,eis_matrix,ES10,ES10C1,0,17,,<f8,"[59,18]",77b51b7286ffa529fe22cac735fcf8576a4a461f379c9be8f6194a41285eb2ee,d4eb6815173cd7fb49f6c640d7611faff4de782af6df7a7c1260ee4ecbc06932
eis:ES10:ES10C1:e000:r018,eis_matrix,ES10,ES10C1,0,18,,<f8,"[59,18]",e87d1ed1ef6dbac7e1e3883665c22fc2d86539340d18d3e9086a49ef480be346,8379f7b3b39a350e4302ef31c4da1e366a65848b662674d9105e994af844d4ee
eis:ES10:ES10C1:e000:r019,eis_matrix,ES10,ES10C1,0,19,,<f8,"[59,18]",dbd78bdf1083f0cd0c0a347d4fa4185bb8e69bc1f60a3caf351d59540685b46b,1ca5e590d459405aeeba40786b6c7f6163175c4a1149ad1886762acfbf5ca2ec
eis:ES10:ES10C1:e001:r000,eis_matrix,ES10,ES10C1,1,0,,<f8,"[59,18]",ee01a65c914da0ecc169875f6a6f830a52a155039830deab5f5fa6b7669e6e77,7be63414ef7726b00f832b0b4245381170c45616eaf6aead5cae509f37ca463e
eis:ES10:ES10C1:e001:r001,eis_matrix,ES10,ES10C1,1,1,,<f8,"[59,18]",4f88e63ff3b0bf5893d5ed2fdcdefeacf152a595c744c550092938ea353f6120,7087c4a074fd0c5848d9bc08e05db1c3bb9e293c044b1e9619e0b381ec5e7858
