source_sha256,condition,provisional_unit,event_index,calendar_date_raw,start_clock_raw,finish_clock_raw,elapsed_like_raw,raw_slot_count,eligible_nonempty_count,quarantined_count,structural_empty_count,nonempty_pair_count,raw_order_chronological,sorted_order_raw_indices,acquisition_tie_count,finish_candidate_inferred,causal_availability_status,causal_availability_reason,status
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,9/29/2014,,,0,20,20,0,0,20,false,"[6,7,8,9,10,11,12,13,14,0,1,2,3,4,5,15,16,17,18,19]",0,2014-09-29T12:32:32.893600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,1,9/30/2014,,,0,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-09-30T10:37:33.674600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,2,10/1/2014,10:00 AM,12:00 PM,2,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-01T12:55:37.751500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,3,10/2/2014,4:00 PM,1:00 PM,23,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-02T14:08:50.719600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,4,10/3/2014,4:00 PM,7:20 AM,38.3333,6,6,0,0,6,false,"[0,1,2,3,5,4]",0,2014-10-03T08:24:14.112600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,5,10/3/2014,10:20 AM,12:00 PM,40,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-03T12:47:40.675600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,6,10/6/2014,2:25 PM,7:25 AM,105,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-06T08:17:41.917500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,7,10/6/2014,9:40 AM,12:40 PM,108,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-06T13:25:11.654500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,8,10/7/2014,2:55 PM,7:55 AM,125,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-07T08:22:42.712600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,9,10/7/2014,9:45 AM,12:45 PM,128,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-07T13:16:17.680500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,10,10/8/2014,3:00 PM,9:00 AM,146,6,6,0,0,6,true,"[0,1,2,3,4,5]",0,2014-10-08T10:00:08.253500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,11,10/9/2014,11:30 AM,7:30 AM,166,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-09T08:13:38.675500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,12,10/10/2014,9:40 AM,7:40 AM,188,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-10T08:30:11.651600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,13,10/10/2014,10:15 AM,2:15 PM,192,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-10T15:03:37.389500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,14,10/13/2014,4:25 PM,11:25 AM,259,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-13T11:44:31.253600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,15,10/14/2014,1:45 PM,7:45 AM,277,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-14T08:44:08.678600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,16,10/14/2014,10:30 AM,12:30 PM,279,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-14T13:00:28.937500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,17,10/15/2014,2:50 PM,8:30 AM,296.66,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-15T09:12:39.538500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,18,10/16/2014,10:40 AM,7:00 AM,317,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-16T07:52:30.599500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,19,10/17/2014,10:00 AM,9:00 AM,352,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-17T09:31:54.254600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,20,10/17/2014,11:30 AM,2:30 PM,355,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-17T15:31:24.311500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,21,10/20/2014,4:30 PM,9:00 AM,419.5,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-20T09:31:12.231600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,22,10/20/2014,11:15 AM,1:45 PM,422,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-20T14:24:52.059500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,23,10/21/2014,4:00 PM,7:00 AM,437,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-21T07:59:28.172600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,24,10/21/2014,10:00 AM,3:00 PM,442,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-21T15:34:57.058500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,25,10/22/2014,5:15 PM,7:15 AM,456,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-22T07:55:58.190500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,26,10/23/2014,4:40 PM,9:10 AM,472.5,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-23T09:55:01.905600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,27,10/24/2014,11:45 AM,9:15 AM,494,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-24T09:56:42.200600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,28,10/24/2014,12:10 PM,2:10 PM,496,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-24T14:51:03.146600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,29,10/27/2014,4:30 PM,8:30 AM,560,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-27T09:08:34.059600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,30,10/27/2014,11:35 AM,1:35 PM,562,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-27T14:04:21.061600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,31,10/28/2014,3:45 PM,8:15 AM,578.5,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-28T08:56:22.057600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,32,10/29/2014,12:15 PM,7:15 AM,597.5,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-29T07:51:47.057600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,33,10/29/2014,9:20 AM,1:50 PM,602,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-29T14:51:51.982500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,34,10/30/2014,4:15 PM,9:15 AM,619,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-30T09:53:01.059600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,35,10/30/2014,11:25 AM,3:25 PM,623,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-30T16:14:37.927600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,36,10/31/2014,6:05 PM,9:15 AM,650.25,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-10-31T10:00:31.927600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,37,11/3/2014,11:45 AM,8:30 AM,719,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-03T09:04:54.252600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,38,11/4/2014,10:30 AM,8:00 AM,740.5,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-04T08:43:27.279500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,39,11/5/2014,2:30 PM,9:00 AM,759,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-05T12:55:56.149600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,40,11/6/2014,3:45 PM,8:15 AM,775.5,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-06T08:53:20.291600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,41,11/6/2014,10:40 AM,2:20 PM,779,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-06T14:57:00.719600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,42,11/7/2014,5:00 PM,1:00 PM,799,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-07T14:20:31.753600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,43,11/10/2014,10:00 AM,1:00 PM,802,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-10T13:40:13.715600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,44,11/12/2014,3:30 PM,9:00 AM,843.5,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-12T10:00:28.751500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,45,11/12/2014,12:00 PM,4:30 PM,848,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-12T17:14:34.717500,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,46,11/13/2014,7:00 PM,8:00 AM,861,5,5,0,0,5,true,"[0,1,2,3,4]",0,2014-11-13T08:35:27.674600,BLOCKED,saved_finish_absent_start_plus_max_time_only_inferred,passed
