item_id,modality,condition,provisional_unit,signal_kind,shape,element_count,finite_count,nan_count,inf_count,rows_any_nan,rows_all_nan,positions_any_nan,positions_all_nan,rowwise_nan_run_count,finite_prefix_nan_suffix_violation_rows,nan_mask_sha256,content_sha256
eis:ES10:ES10C1:e000:r000,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,4ef1701245b0d4d16d2d665c7fee6b2db4f389ae018942a2be8fa9f195d54054
eis:ES10:ES10C1:e000:r001,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,b520fb6440969bf45d4de285d7af03bfdaf6ecedc6bfeb17e25e676637cc3934
eis:ES10:ES10C1:e000:r002,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,941b1e9db326943c11fafa2ade5d11f9d3c1e6c1c14dc27e87c7138d220af983
eis:ES10:ES10C1:e000:r003,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,0405fc094788cc45f3a96dda10bb337c11918b8664c2bc9a02f0701f16ff41ea
eis:ES10:ES10C1:e000:r004,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,32d09485d76066aabc5f8001652cd5b5d95207f98a1132790bdbc36131d43468
eis:ES10:ES10C1:e000:r005,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,ca87a16ad2e3915179b69db260d45900b1c099d954391a647ec260187198b8ed
eis:ES10:ES10C1:e000:r006,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,27db47a650a6bab65a1505c5e4ad249752619cd3dd44c3f315f1a21d45a5e3b9
eis:ES10:ES10C1:e000:r007,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,6e251f6450a93c7184f7dde46a7b25807f846d4456878d7ffcfc2e9dcf38d857
eis:ES10:ES10C1:e000:r008,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,c234ab029175fdc761b1fc8ee8a20f466c1b002f81415e6e24c370e4604394c0
eis:ES10:ES10C1:e000:r009,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,b76386af81224523d048e912d5e1441214c4d14b223614093262340aec023c8f
eis:ES10:ES10C1:e000:r010,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,5560712880bb035430ae9e5a1162ce03ff39a18e36f220734bdb432dc6cd1273
eis:ES10:ES10C1:e000:r011,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,1325bc87598635870f31256eb7b5ef41f11547e8014bec2bce249a2a103727e0
eis:ES10:ES10C1:e000:r012,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,cbe8ce50a9c2b707f0a7c7064cff6dda4cf624d6642541e6c8a5aee8508cbe87
eis:ES10:ES10C1:e000:r013,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,f1cd3caa48e9a324253e772610e685ab2c9eba8c5e6a8a17d578c43b1f6b594c
eis:ES10:ES10C1:e000:r014,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,e43305a8ebe58666f7463567b908e5b25dcd095c2979b8916a0d1e7db438d37b
eis:ES10:ES10C1:e000:r015,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,e887a269e8b3aa55a6fbbbdbe0c6d5a74c5d41a9d063b45fad4319fe5904a4a8
eis:ES10:ES10C1:e000:r016,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,e1fd75e86def3957744b073d47436035bb0bd07307967151d4fe80ff7f699c78
eis:ES10:ES10C1:e000:r017,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,77b51b7286ffa529fe22cac735fcf8576a4a461f379c9be8f6194a41285eb2ee
eis:ES10:ES10C1:e000:r018,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,e87d1ed1ef6dbac7e1e3883665c22fc2d86539340d18d3e9086a49ef480be346
eis:ES10:ES10C1:e000:r019,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,dbd78bdf1083f0cd0c0a347d4fa4185bb8e69bc1f60a3caf351d59540685b46b
eis:ES10:ES10C1:e001:r000,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,ee01a65c914da0ecc169875f6a6f830a52a155039830deab5f5fa6b7669e6e77
eis:ES10:ES10C1:e001:r001,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,4f88e63ff3b0bf5893d5ed2fdcdefeacf152a595c744c550092938ea353f6120
eis:ES10:ES10C1:e001:r002,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,b0679ef981efd2d189dfe006ff730d35ff89b4a856053b2c560273f53b52f336
eis:ES10:ES10C1:e001:r003,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,6932ba037a1a8e054b266683bf3296d7c3d9d63812c2a9597d2840348e03274d
eis:ES10:ES10C1:e001:r004,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,4ebc3b60a7837f1ed7d87970e95b987d0cd55c2aec1f8e572f24798049b53f2d
eis:ES10:ES10C1:e002:r000,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,9e948aa2d32585b87afe495e141d46e9722c796100463290e8066785cbfbe0bd
eis:ES10:ES10C1:e002:r001,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,4164d01377b43ca02c46c029063534f3462fd43c3f43081f7adbc42c4a66ed1b
eis:ES10:ES10C1:e002:r002,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,91f2d1a60bbbcc1a6fead9bd03660b33e067b33b6c057b98be281ed244a0bed2
eis:ES10:ES10C1:e002:r003,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,15290d12df59a6a0f388b0f33bcd97964e973828b1fbb284f7f411233a78e069
eis:ES10:ES10C1:e002:r004,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,edaf88518e3060bb13b21daea80f21b659f9b10758be3ef1e934f7cee707b9c0
eis:ES10:ES10C1:e003:r000,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,285c1a46145d6fa3a3daaf2ddee8e15bd193719fb879c3a561e12b0417350e37
eis:ES10:ES10C1:e003:r001,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,092565f63e7653574720141a542170b2b80ae40cdc03f5586919f4216b0fe6ce
eis:ES10:ES10C1:e003:r002,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,522f035891984af8eb706173cf0917a35de7b966da6b754c2b1dbc43bba69c96
eis:ES10:ES10C1:e003:r003,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,a4c75a2837cec08c2ef26ca4b79f4618a7545e2bd9f5fe0e28edb0cb1fedcb9b
eis:ES10:ES10C1:e003:r004,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,d1d443f4b5e3baf03aab2783df7af5277a83fec010a5868cfb4a8e59053977fd
eis:ES10:ES10C1:e004:r000,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,85f5bbc10ff89e280fffa6636b7583063d29eea6f72ee6052574d4bc6fb1334d
eis:ES10:ES10C1:e004:r001,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,ecdfb4f8c4ad8af5fd22155eda22a17a9757eab6c49e6f77f98ce4761d5e68d7
eis:ES10:ES10C1:e004:r002,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,ada9408880f34ac7fb16634d9e4eacb60d41cfe37c88a4e9c317888b9fb61c2a
eis:ES10:ES10C1:e004:r003,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,4b138e425a57b943c8c18c328ab888b1d438ba6b05d8a41df075a94ddd1126ec
eis:ES10:ES10C1:e004:r004,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,23094edfbdb9f54535fa36bf89f33f2967d1d51068618fb78c4f6061ff957327
eis:ES10:ES10C1:e004:r005,eis_matrix,ES10,ES10C1,,"[59,18]",1062,1062,0,0,0,0,0,0,,,a7ac5f62fe799763f054b46bea539d7c254ae67515e44febc45899faff6e8130,47087623520011eca218033b95888e1bee9c3f7d01c5e9cdfc915a94ec70b4ed
