condition,provisional_unit,termination_reason,failure_event,censoring_status,sequence_end_is_eol,outcome_status
ES10,ES10C1,unknown,unknown,unknown,false,BLOCKED
ES10,ES10C2,unknown,unknown,unknown,false,BLOCKED
ES10,ES10C3,unknown,unknown,unknown,false,BLOCKED
ES10,ES10C4,unknown,unknown,unknown,false,BLOCKED
ES10,ES10C5,unknown,unknown,unknown,false,BLOCKED
ES10,ES10C6,unknown,unknown,unknown,false,BLOCKED
ES10,ES10C7,unknown,unknown,unknown,false,BLOCKED
ES10,ES10C8,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C1,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C2,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C3,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C4,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C5,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C6,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C7,unknown,unknown,unknown,false,BLOCKED
ES12,ES12C8,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C1,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C2,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C3,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C4,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C5,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C6,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C7,unknown,unknown,unknown,false,BLOCKED
ES14,ES14C8,unknown,unknown,unknown,false,BLOCKED
