item_id,source_sha256,condition,provisional_unit,event_index,raw_replicate_index,header_reference_status,data_reference_status,pair_status,raw_slot_class,column_schema_status,header_sha256,matrix_content_sha256,acquisition_start,finish_candidate_inferred,finish_evidence,sorted_replicate_rank,eligibility,quarantine_reason
eis:ES10:ES10C1:e000:r000,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,0,resolved,resolved,paired_nonempty,eligible,passed,e4cf23a3c38d828300cf2bf4024e901615e8297417c8b3cb1a6cb7d4f81fdedd,4ef1701245b0d4d16d2d665c7fee6b2db4f389ae018942a2be8fa9f195d54054,2014-09-29T11:21:40,2014-09-29T11:21:58.674500,inferred_start_plus_max_time_s,9,eligible,
eis:ES10:ES10C1:e000:r001,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,1,resolved,resolved,paired_nonempty,eligible,passed,88bb2298852f67a8121a4b69bca90cf6fe3359e6dc3fb477fb56ab7cf544b7bf,b520fb6440969bf45d4de285d7af03bfdaf6ecedc6bfeb17e25e676637cc3934,2014-09-29T11:22:11,2014-09-29T11:22:29.674600,inferred_start_plus_max_time_s,10,eligible,
eis:ES10:ES10C1:e000:r002,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,2,resolved,resolved,paired_nonempty,eligible,passed,4d2dc11c7a72c4377072ecf3954012d2b9199f81a4e6c6683a1195d2a81bfc70,941b1e9db326943c11fafa2ade5d11f9d3c1e6c1c14dc27e87c7138d220af983,2014-09-29T11:24:15,2014-09-29T11:24:33.672500,inferred_start_plus_max_time_s,11,eligible,
eis:ES10:ES10C1:e000:r003,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,3,resolved,resolved,paired_nonempty,eligible,passed,92c7fdf4079b7da3b7c7ddf1150e15fcbff7e5f2a021dd6b440f3c7deb2d725c,0405fc094788cc45f3a96dda10bb337c11918b8664c2bc9a02f0701f16ff41ea,2014-09-29T11:24:52,2014-09-29T11:25:10.669600,inferred_start_plus_max_time_s,12,eligible,
eis:ES10:ES10C1:e000:r004,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,4,resolved,resolved,paired_nonempty,eligible,passed,9694801de029a798767a5a82f0358d5dc09b168ccacc6cd9f43df52fca65c459,32d09485d76066aabc5f8001652cd5b5d95207f98a1132790bdbc36131d43468,2014-09-29T11:25:30,2014-09-29T11:25:48.671500,inferred_start_plus_max_time_s,13,eligible,
eis:ES10:ES10C1:e000:r005,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,5,resolved,resolved,paired_nonempty,eligible,passed,ede1a72c82942ef6c29c563537d8feddae45713e2e7494275e04145fc21e9859,ca87a16ad2e3915179b69db260d45900b1c099d954391a647ec260187198b8ed,2014-09-29T11:26:12,2014-09-29T11:26:30.686600,inferred_start_plus_max_time_s,14,eligible,
eis:ES10:ES10C1:e000:r006,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,6,resolved,resolved,paired_nonempty,eligible,passed,a78d1c54080214c88bf023a293b020fd256f7794a313ba5bfa2a0155794985ff,27db47a650a6bab65a1505c5e4ad249752619cd3dd44c3f315f1a21d45a5e3b9,2014-09-29T11:09:03,2014-09-29T11:09:21.308500,inferred_start_plus_max_time_s,0,eligible,
eis:ES10:ES10C1:e000:r007,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,7,resolved,resolved,paired_nonempty,eligible,passed,7b17ee08b15f18aa2cda16fed426f3d4fa131b7b65d1429bf7aacf3f15bc9a48,6e251f6450a93c7184f7dde46a7b25807f846d4456878d7ffcfc2e9dcf38d857,2014-09-29T11:09:58,2014-09-29T11:10:16.627600,inferred_start_plus_max_time_s,1,eligible,
eis:ES10:ES10C1:e000:r008,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,8,resolved,resolved,paired_nonempty,eligible,passed,8c1651aacb0eb7845b2ca9a642ad0ddb531a1ca6ac6f8e2c827cc069bd40774e,c234ab029175fdc761b1fc8ee8a20f466c1b002f81415e6e24c370e4604394c0,2014-09-29T11:12:29,2014-09-29T11:12:47.888500,inferred_start_plus_max_time_s,2,eligible,
eis:ES10:ES10C1:e000:r009,dc6d527433c6ce1ec5388b1a6a6c66b5601bbf695ba7ecefd80029b98dfa18db,ES10,ES10C1,0,9,resolved,resolved,paired_nonempty,eligible,passed,12b541854f4035f401099e7073700af1e36102db9c41b3e892190458ec0086a7,b76386af81224523d048e912d5e1441214c4d14b223614093262340aec023c8f,2014-09-29T11:14:17,2014-09-29T11:14:35.672500,inferred_start_plus_max_time_s,3,eligible,
