condition,provisional_unit,raw_observables,capacity_target_status,esr_target_status,soh_target_status,rul_target_status,numeric_target_emitted,reason
ES10,ES10C1,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES10,ES10C2,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES10,ES10C3,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES10,ES10C4,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES10,ES10C5,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES10,ES10C6,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES10,ES10C7,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES10,ES10C8,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C1,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C2,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C3,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C4,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C5,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C6,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C7,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES12,ES12C8,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C1,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C2,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C3,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C4,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C5,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C6,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C7,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
ES14,ES14C8,"[""Cs/µF"",""Cp/µF"",""Re(Z)/Ohm""]",BLOCKED,BLOCKED,BLOCKED,BLOCKED,false,physical_derivation_baseline_aggregation_failure_rule_not_frozen
