item_id,condition,provisional_unit,signal_kind,timestamp_rows,signal_rows,row_difference,timestamp_reversal_count,timestamp_duplicate_count,timestamp_irregular_gap_count,timestamp_content_sha256,candidate_explanations,applied_repair,alignment_status
transient:ES10:ES10C1:VL,ES10,ES10C1,VL,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C1:VO,ES10,ES10C1,VO,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C2:VL,ES10,ES10C2,VL,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C2:VO,ES10,ES10C2,VO,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C3:VL,ES10,ES10C3,VL,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C3:VO,ES10,ES10C3,VO,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C4:VL,ES10,ES10C4,VL,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C4:VO,ES10,ES10C4,VO,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C5:VL,ES10,ES10C5,VL,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C5:VO,ES10,ES10C5,VO,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C6:VL,ES10,ES10C6,VL,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C6:VO,ES10,ES10C6,VO,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C7:VL,ES10,ES10C7,VL,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES10:ES10C7:VO,ES10,ES10C7,VO,75826,75826,0,1,0,921,71cbabdbb7542917b457cb320859986b7ca3ec6eba7fa517e207232aefca0bb8,[],false,FAIL
transient:ES12:ES12C1:VL,ES12,ES12C1,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C1:VO,ES12,ES12C1,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C2:VL,ES12,ES12C2,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C2:VO,ES12,ES12C2,VO,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
transient:ES12:ES12C3:VL,ES12,ES12C3,VL,77241,77237,4,0,0,921,57ab02b1000bf7383b8f66af14d1bcbabb791fd6118694554e51c4608f7f079b,"[{""hypothesis"":""signals_map_timestamp_prefix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[77237,77238,77239,77240]},{""hypothesis"":""signals_map_timestamp_suffix"",""status"":""candidate_only"",""unpaired_timestamp_indices"":[0,1,2,3]}]",false,BLOCKED
