condition,provisional_unit,provenance_only_group,eis_available,transient_available,stable_physical_id_status,serial_evidence,board_evidence,batch_evidence,replacement_reuse_evidence,split_group_status
ES10,ES10C1,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES10,ES10C2,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES10,ES10C3,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES10,ES10C4,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES10,ES10C5,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES10,ES10C6,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES10,ES10C7,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES10,ES10C8,true,true,false,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C1,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C2,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C3,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C4,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C5,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C6,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C7,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES12,ES12C8,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C1,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C2,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C3,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C4,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C5,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C6,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C7,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
ES14,ES14C8,true,true,true,BLOCKED,unknown,unknown,unknown,unknown,BLOCKED
