scope,provisional_trajectory,numeric_trajectory_signature_sha256,exact_cross_channel_duplicate_count,summary_raw_lineage,physical_overlap_status,split_resolution,status
complete,ch1,ffb74cab3de533c389563ff73d15706784ca953ef8eecd8481b5a73cac972f17,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
complete,ch2,4abbfe6be8c6419b5b587991bb0feaf6de3cca1932840491d9055f61b3844573,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
complete,ch3,3266c864af63bf689a040c2111cfb8b8cc33670f342e3190f9501b8c67babedd,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
complete,ch4,bab88d4d51c18c963526091929ce96732d68b5883854370c708b21bdbee46da2,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
complete,ch5,865e6090f235bd71fce5c0806ae287f1ba8776e7963672e266defaa9b5a7805c,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
complete,ch6,53c6d9235883860dee62ca1367285f6cec6f7ef7114f9b5cba70a4acecf5293b,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
complete,ch7,69dac34ad0a53c9456c0da0e99e1a6e872c6e3efa9b97832a6a665854fdc78a7,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
complete,ch8,b97a5b9a31ff789f91f888da45a76a64ad1dc017b690c993368023433bcc32f7,0,NA_WITHIN_COMPLETE,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
summary,ch1,ccf9ea08cc598eb595d60e635fa123c8502c25139fe1e0274a74f2c47ce53562,0,AUTHOR_SUMMARY_DO_NOT_COUNT_AS_INDEPENDENT_PHYSICAL_UNIT,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
summary,ch2,51d748a40d4404eb6582b6f7ac569627e4fe3a8e2242720b90f443090f12e94f,0,AUTHOR_SUMMARY_DO_NOT_COUNT_AS_INDEPENDENT_PHYSICAL_UNIT,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
summary,ch3,51f7bacfd5c54a1b4d8f5181688b9c8eb51daf6a4ec5ed319d022bbf94fbe5b4,0,AUTHOR_SUMMARY_DO_NOT_COUNT_AS_INDEPENDENT_PHYSICAL_UNIT,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
summary,ch4,b98602f93713260d488555d3bb95decb4d2da3ca0997e635cb491332c17bada4,0,AUTHOR_SUMMARY_DO_NOT_COUNT_AS_INDEPENDENT_PHYSICAL_UNIT,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
summary,ch5,bc2d7905f1541f9b1836c48b4268aaca387e95f587161cadb1cd365d4845b589,0,AUTHOR_SUMMARY_DO_NOT_COUNT_AS_INDEPENDENT_PHYSICAL_UNIT,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
summary,ch6,94cccbe94f83e6de95e9e4b1ae4b573eeb15d4f3cbef460b2e29fa27fd419d8d,0,AUTHOR_SUMMARY_DO_NOT_COUNT_AS_INDEPENDENT_PHYSICAL_UNIT,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
summary,ch7,eaf4b76c5df83dfba357facee9da3dbe1d3c3256f65fa61341aa73a341b1e183,0,AUTHOR_SUMMARY_DO_NOT_COUNT_AS_INDEPENDENT_PHYSICAL_UNIT,BLOCKED_IDENTITY,DO_NOT_SPLIT_UNTIL_PHYSICAL_IDENTITY_IS_PROVEN,PASS_NO_EXACT_NUMERIC_TRAJECTORY_DUPLICATE
