scope,provisional_trajectory,row_count,cycle_min,cycle_max,distinct_cycle_count,adjacent_repeat_count,reversal_count,forward_jump_gt_one_count,missing_cycle_count_within_observed_range,missing_cycles_within_observed_range,cycle_axis_status,absolute_time_status,segment_identity_status,terminal_record_status,feature_use_of_terminal_metadata
complete,ch1,2754494,1,300,300,2754194,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch1,300,1,300,300,0,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
complete,ch2,1301494,1,150,150,1301344,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch2,150,1,150,150,0,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
complete,ch3,805947,1,100,100,805847,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch3,100,1,100,100,0,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
complete,ch4,1344049,1,150,150,1343899,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch4,148,2,150,148,0,0,1,1,101,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
complete,ch5,1019331,1,100,100,1019231,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch5,100,1,100,100,0,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
complete,ch6,1528817,1,148,148,1528669,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch6,144,2,148,144,0,0,3,3,36;49;99,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
complete,ch7,868378,1,100,100,868278,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch7,100,1,100,100,0,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
complete,ch8,1302951,1,150,150,1302801,0,0,0,NONE,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
summary,ch8,149,1,150,149,0,0,1,1,83,PARTIAL_PASS_CYCLE_AXIS_ONLY,BLOCKED_STATIC_OPAQUE,BLOCKED_NO_AUDITABLE_ABSOLUTE_TIME_OR_RESET_ID,BLOCKED_NO_EXPLICIT_TERMINATION_RECORD,FORBIDDEN
