scope,provisional_trajectory,field,parser_class,dtype,shape,element_count,finite_count,nan_count,inf_count,minimum,maximum,unit,unit_evidence,sampling_granularity,provenance_class,content_sha256,status,reason
complete,ch1,Time,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,datetime_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
complete,ch1,Cycle,ndarray,uint16,[2754494],2754494,2754494,0,0,1,300,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,8af274bb479fe01ecd724790d884422c54370bf6f03248016b7c6f789e4a047b,OBSERVED_NUMERIC_DOCUMENTATION_CONFLICT,raw uint16 conflicts with pinned PDF description of double
complete,ch1,Current,ndarray,float64,[2754494],2754494,2754494,0,0,-4.001642,4.001195,A,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,3c4ad12c9daf9c19c49ce87fb56d3fc08140867acd5e46ebc3840e6cb66ff054,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch1,Voltage,ndarray,float64,[2754494],2754494,2754494,0,0,2.999732,4.200092,V,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,5f63d4dcdaf2452da0c2d0ec495e9e9a1733f77c1c7fbb2851cb05ffc6250ed4,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch1,Cap_ch,ndarray,float64,[2754494],2754494,2754494,0,0,0.0,3.479316,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,bca5190b8521c5475428e47fb37cb30b120a65c538934cb474b1f333b0544ec4,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch1,Cap_dis,ndarray,float64,[2754494],2754494,2754494,0,0,0.0,3.452619,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,11d135baed0be368829deec133eadd3696cf63d3a154e2bcbe2e1d7c5637f5ab,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch1,IR,ndarray,float64,[2754494],2754494,2420,2752074,0,0.0,0.030080109834671,ohm_internal_resistance_not_ESR,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,8f1bbd94bd3676fa5d8b20d43906988529f77cbd0c9d9ae09c532388086d3a5b,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch1,Temp,ndarray,float64,[2754494],2754494,2754494,0,0,19.26618,26.51152,degC,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,fa89e541115e91a18bd88754afe9c815dfe9a46dc6c7d46f58f07d044175b0cc,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch1,Method,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,string_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch1,Cycle,ndarray,uint16,[300],300,300,0,0,1,300,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,dbe1c1525915f77b6816b135e769d857941619de1bd6a783bd13da4612d292d6,OBSERVED_NUMERIC_DOCUMENTATION_CONFLICT,raw uint16 conflicts with pinned PDF description of double
