provisional_key,listed_segment_count,exact_row_digest,waveform_fingerprint,physical_overlap,status
batch1/1,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/10,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/11,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/12,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/13,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/14,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/15,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/16,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/17,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/18,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/19,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/2,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/20,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
