member_path,member_type,batch_path_component,provisional_filename_stem,segment_suffix,uncompressed_bytes,packed_bytes,crc,compression_method,encrypted,link_fields_empty,extension,listing_safety_status,row_content_status
batch3/1.xls,regular_file_claim_from_listing,batch3,1,base,50755584,6875194,7C8074DD,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/10.xls,regular_file_claim_from_listing,batch3,10,base,49763328,8000607,FBE77800,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/10__1.xls,regular_file_claim_from_listing,batch3,10,__1,92248576,14490067,3EF275B4,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/10__2.xls,regular_file_claim_from_listing,batch3,10,__2,65001984,9987736,E85D29CA,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/11.xls,regular_file_claim_from_listing,batch3,11,base,50167296,7998540,86F4706A,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/11__1.xls,regular_file_claim_from_listing,batch3,11,__1,92185088,14256883,10666741,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/11__2.xls,regular_file_claim_from_listing,batch3,11,__2,84644352,12711577,85ABAB2A,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/12.xls,regular_file_claim_from_listing,batch3,12,base,50501120,7588082,4557D91C,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/12__1.xls,regular_file_claim_from_listing,batch3,12,__1,93296128,13870651,8CBC672B,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/12__2.xls,regular_file_claim_from_listing,batch3,12,__2,63827456,9377985,074D8651,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/13.xls,regular_file_claim_from_listing,batch3,13,base,50405888,7764364,7575AAF8,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/13__1.xls,regular_file_claim_from_listing,batch3,13,__1,93284352,13287781,6A0E69D7,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/13__2.xls,regular_file_claim_from_listing,batch3,13,__2,74156032,10625816,638B60C5,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/14.xls,regular_file_claim_from_listing,batch3,14,base,50743808,6885748,EE484231,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/14__1.xls,regular_file_claim_from_listing,batch3,14,__1,93804544,11787766,7453457A,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/14__2.xls,regular_file_claim_from_listing,batch3,14,__2,87813120,10971268,4A4A29A4,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
batch3/15.xls,regular_file_claim_from_listing,batch3,15,base,50087424,7772187,FFA1C84D,m3:25,-,True,.xls,PASS_LISTING_METADATA,NOT_EXTRACTED_NOT_PARSED
