provisional_key,physical_device_id,explicit_failure_record,threshold_crossing,event_indicator,censor_time,rul_truth,status
batch1/1,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/10,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/11,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/12,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/13,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/14,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/15,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/16,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/17,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
batch1/18,UNPROVEN,NOT_AUDITED,NOT_COMPUTED,NA_NOT_GENERATED,NA_NOT_GENERATED,NA,BLOCKED_ARCHIVE_TEST_AND_EVENT_SEMANTICS
