provisional_key,batch_path_component,filename_stem,listed_segment_count,listed_member_paths,physical_device_id,batch_identity,protocol_group,row_identity_evidence,status
batch1/1,batch1,1,1,batch1/1.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/10,batch1,10,1,batch1/10.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/11,batch1,11,1,batch1/11.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/12,batch1,12,1,batch1/12.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/13,batch1,13,1,batch1/13.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/14,batch1,14,1,batch1/14.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/15,batch1,15,1,batch1/15.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/16,batch1,16,1,batch1/16.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/17,batch1,17,1,batch1/17.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/18,batch1,18,1,batch1/18.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/19,batch1,19,1,batch1/19.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/2,batch1,2,1,batch1/2.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/20,batch1,20,1,batch1/20.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/21,batch1,21,1,batch1/21.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/22,batch1,22,1,batch1/22.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch1/23,batch1,23,1,batch1/23.xls,UNPROVEN_DO_NOT_INFER_FROM_FILENAME,UNPROVEN_DO_NOT_INFER_FROM_DIRECTORY,UNPROVEN_DO_NOT_INFER_FROM_FILE_COUNT,UNAVAILABLE_ARCHIVE_NOT_EXTRACTED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
