member_path,member_type,uncompressed_bytes,packed_bytes,crc,compression_method,encrypted,link_or_redirection,extension,safety_status,mtime,attributes,host_os,model_or_api_executed,numeric_target_emitted
batch3/1.xls,regular_file,50755584,6875194,7C8074DD,m3:25,false,false,.xls,PASS,"2019-12-20 11:27:42,854371100",..A....,Windows,false,false
batch3/10.xls,regular_file,49763328,8000607,FBE77800,m3:25,false,false,.xls,PASS,"2019-12-20 11:33:29,421059700",..A....,Windows,false,false
batch3/10__1.xls,regular_file,92248576,14490067,3EF275B4,m3:25,false,false,.xls,PASS,"2019-12-20 12:05:30,704404800",..A....,Windows,false,false
batch3/10__2.xls,regular_file,65001984,9987736,E85D29CA,m3:25,false,false,.xls,PASS,"2019-12-20 12:54:20,804293800",..A....,Windows,false,false
batch3/11.xls,regular_file,50167296,7998540,86F4706A,m3:25,false,false,.xls,PASS,"2019-12-20 11:34:10,133028600",..A....,Windows,false,false
batch3/11__1.xls,regular_file,92185088,14256883,10666741,m3:25,false,false,.xls,PASS,"2019-12-20 12:06:38,866379300",..A....,Windows,false,false
batch3/11__2.xls,regular_file,84644352,12711577,85ABAB2A,m3:25,false,false,.xls,PASS,"2019-12-20 12:55:09,458025700",..A....,Windows,false,false
batch3/12.xls,regular_file,50501120,7588082,4557D91C,m3:25,false,false,.xls,PASS,"2019-12-20 11:34:49,633985000",..A....,Windows,false,false
batch3/12__1.xls,regular_file,93296128,13870651,8CBC672B,m3:25,false,false,.xls,PASS,"2019-12-20 12:07:47,326342500",..A....,Windows,false,false
batch3/12__2.xls,regular_file,63827456,9377985,074D8651,m3:25,false,false,.xls,PASS,"2019-12-20 12:55:45,579777500",..A....,Windows,false,false
batch3/13.xls,regular_file,50405888,7764364,7575AAF8,m3:25,false,false,.xls,PASS,"2019-12-20 11:35:27,440321800",..A....,Windows,false,false
batch3/13__1.xls,regular_file,93284352,13287781,6A0E69D7,m3:25,false,false,.xls,PASS,"2019-12-20 12:08:55,582628300",..A....,Windows,false,false
batch3/13__2.xls,regular_file,74156032,10625816,638B60C5,m3:25,false,false,.xls,PASS,"2019-12-20 12:56:28,306427800",..A....,Windows,false,false
batch3/14.xls,regular_file,50743808,6885748,EE484231,m3:25,false,false,.xls,PASS,"2019-12-20 11:36:04,712892400",..A....,Windows,false,false
batch3/14__1.xls,regular_file,93804544,11787766,7453457A,m3:25,false,false,.xls,PASS,"2019-12-20 12:10:03,609152900",..A....,Windows,false,false
batch3/14__2.xls,regular_file,87813120,10971268,4A4A29A4,m3:25,false,false,.xls,PASS,"2019-12-20 12:57:16,787152500",..A....,Windows,false,false
batch3/15.xls,regular_file,50087424,7772187,FFA1C84D,m3:25,false,false,.xls,PASS,"2019-12-20 11:36:42,213214500",..A....,Windows,false,false
batch3/15__1.xls,regular_file,93017600,13519096,BEB1F50E,m3:25,false,false,.xls,PASS,"2019-12-20 12:11:13,074448300",..A....,Windows,false,false
batch3/15__2.xls,regular_file,86078976,11239389,1A60A193,m3:25,false,false,.xls,PASS,"2019-12-20 12:58:05,500650600",..A....,Windows,false,false
batch3/16.xls,regular_file,50713088,6831058,BDEDBA18,m3:25,false,false,.xls,PASS,"2019-12-20 11:37:20,333591300",..A....,Windows,false,false
batch3/16__1.xls,regular_file,93639168,12433073,E95282EC,m3:25,false,false,.xls,PASS,"2019-12-20 12:12:21,707985100",..A....,Windows,false,false
batch3/16__2.xls,regular_file,78230528,11673066,D6D0389C,m3:25,false,false,.xls,PASS,"2019-12-20 12:58:50,954340300",..A....,Windows,false,false
