member_path,observed_type,hardlink_count,observed_bytes,expected_bytes,observed_crc32,expected_crc32,type_match,size_match,crc_match,status,model_or_api_executed,numeric_target_emitted
batch1,directory,NA,0,0,00000000,00000000,true,true,true,PASS,false,false
batch1/1.xls,regular_file,1,25555456,25555456,A462F561,A462F561,true,true,true,PASS,false,false
batch1/10.xls,regular_file,1,25573888,25573888,BCD569C6,BCD569C6,true,true,true,PASS,false,false
batch1/11.xls,regular_file,1,25127936,25127936,174103B6,174103B6,true,true,true,PASS,false,false
batch1/12.xls,regular_file,1,25470464,25470464,4DD58E4B,4DD58E4B,true,true,true,PASS,false,false
batch1/13.xls,regular_file,1,25499136,25499136,4482DA83,4482DA83,true,true,true,PASS,false,false
batch1/14.xls,regular_file,1,24936448,24936448,86855B16,86855B16,true,true,true,PASS,false,false
batch1/15.xls,regular_file,1,25395200,25395200,EBC458C6,EBC458C6,true,true,true,PASS,false,false
batch1/16.xls,regular_file,1,25572864,25572864,5911CF87,5911CF87,true,true,true,PASS,false,false
batch1/17.xls,regular_file,1,25646080,25646080,C9AD69FF,C9AD69FF,true,true,true,PASS,false,false
batch1/18.xls,regular_file,1,25519616,25519616,62AADB1D,62AADB1D,true,true,true,PASS,false,false
batch1/19.xls,regular_file,1,25622016,25622016,AC044CC5,AC044CC5,true,true,true,PASS,false,false
batch1/2.xls,regular_file,1,25553408,25553408,F9639FB3,F9639FB3,true,true,true,PASS,false,false
batch1/20.xls,regular_file,1,25241088,25241088,3B7DA748,3B7DA748,true,true,true,PASS,false,false
batch1/21.xls,regular_file,1,25429504,25429504,C80DB0A2,C80DB0A2,true,true,true,PASS,false,false
batch1/22.xls,regular_file,1,25532928,25532928,56999DAE,56999DAE,true,true,true,PASS,false,false
batch1/23.xls,regular_file,1,25544704,25544704,940651BA,940651BA,true,true,true,PASS,false,false
batch1/24.xls,regular_file,1,25316864,25316864,A1EA5946,A1EA5946,true,true,true,PASS,false,false
batch1/25.xls,regular_file,1,25534464,25534464,51EDF566,51EDF566,true,true,true,PASS,false,false
batch1/26.xls,regular_file,1,25400832,25400832,F0AA10EB,F0AA10EB,true,true,true,PASS,false,false
batch1/27.xls,regular_file,1,24985600,24985600,FA8CC389,FA8CC389,true,true,true,PASS,false,false
batch1/28.xls,regular_file,1,25239552,25239552,76905E6E,76905E6E,true,true,true,PASS,false,false
batch1/3.xls,regular_file,1,25010176,25010176,B454B050,B454B050,true,true,true,PASS,false,false
batch1/4.xls,regular_file,1,25200128,25200128,BCF40FE6,BCF40FE6,true,true,true,PASS,false,false
batch1/5.xls,regular_file,1,25351168,25351168,065E40EE,065E40EE,true,true,true,PASS,false,false
batch1/6.xls,regular_file,1,25255424,25255424,EF9A63A6,EF9A63A6,true,true,true,PASS,false,false
batch1/7.xls,regular_file,1,25531904,25531904,16B5B0C7,16B5B0C7,true,true,true,PASS,false,false
batch1/8.xls,regular_file,1,25049600,25049600,0D123AA6,0D123AA6,true,true,true,PASS,false,false
batch1/9.xls,regular_file,1,24908288,24908288,89A53666,89A53666,true,true,true,PASS,false,false
batch2,directory,NA,0,0,00000000,00000000,true,true,true,PASS,false,false
batch2/1.xls,regular_file,1,51806720,51806720,E9BB0774,E9BB0774,true,true,true,PASS,false,false
batch2/10.xls,regular_file,1,51684352,51684352,A3C223A0,A3C223A0,true,true,true,PASS,false,false
batch2/11.xls,regular_file,1,52367872,52367872,179A3A25,179A3A25,true,true,true,PASS,false,false
batch2/12.xls,regular_file,1,51218944,51218944,308C5044,308C5044,true,true,true,PASS,false,false
batch2/13.xls,regular_file,1,50589184,50589184,6936D1DC,6936D1DC,true,true,true,PASS,false,false
