member_path,status,row_evidence,model_or_api_executed,numeric_target_emitted
batch3/1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/10.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/10__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/10__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/11.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/11__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/11__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/12.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/12__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/12__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/13.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/13__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/13__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/14.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/14__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/14__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/15.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/15__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/15__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/16.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/16__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/16__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/17.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/17__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/17__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/18.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/18__1.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/18__2.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
batch3/19.xls,NOT_EVALUATED_R1D_BLOCKED,NA,false,false
