member_path,bytes,sha256,container,scan_complete,status,blockers,macro_entries,embedded_entries,model_or_api_executed,numeric_target_emitted
batch3/1.xls,50755584,43310a35cfb7f3a798350328bdf81a38dfe972be2dd2eb5ab8ac010974f0f341,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_active_or_context_record_CONTINUE|unclassified_record_types,0,0,false,false
batch3/10.xls,49763328,0689fb95234cd414fbc51daf4c2fe7e4db39d03fca792ab1a40eef68fcc2dab6,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/10__1.xls,92248576,9edcba10de9a089c90cb1cc802a0eeb73b66952e8b0cb8d5186bc0bad9d03aba,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/10__2.xls,65001984,51702e26e2a7b57f93945d6dce08a427f317b19f738be51280e0aa07bff71df8,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/11.xls,50167296,5945f83ae978de1848f4c04073e33ebdd23853027cf0968cfb5ef969573d5454,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/11__1.xls,92185088,52d45e570654619ead68d9e5c3388e35eb217c25cfb0ff7caa7f2133e6085012,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/11__2.xls,84644352,fbd2f5709cb7a1bed82a328a65bb369ae08a26bac6ca46bb11b4acc336d3e097,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/12.xls,50501120,e0f9cf487629af63aa58fb0381cf4d125ea7518682dcaa55be7519897bdc20ef,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/12__1.xls,93296128,49c5e55def20e31de42990994fded84c289bfc9414902aca3fe91d3b59549a1e,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/12__2.xls,63827456,8b0a96ee14b2670894f896fed7694e2e082bde426b6f904c28abb5486ae881cf,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/13.xls,50405888,f948a665404114f3b1e7416d532c9625184c14abd3c7b488e152bf07daf5c399,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/13__1.xls,93284352,c1ba7a2386524464e6af0ad00cc6c0f46faf3d98c8926e0a873420ca81a4e400,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/13__2.xls,74156032,826ecb5f48bc890c27b9946a7bd9f73557137d22be580fe5456f1b7d0fab4a9f,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/14.xls,50743808,73e7cd26158458df0b07d94a726074c8163a5790e074ec2373d777ca0a02f1af,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/14__1.xls,93804544,b9660991a5256aa109ec632422aa69366cac558fe02f75b824cb4537a10859aa,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/14__2.xls,87813120,cec38b85e78d990cb45533b2974383ae5bd026ff1dc7636715a7f786173f55d4,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/15.xls,50087424,516cb69510dfcef9efe373bb531ff378985fe0396b10b941162c0882b16b66a2,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/15__1.xls,93017600,29566a465cdf0bb187ad869778f83b736796eaa939f022d2e75c563eaf057047,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/15__2.xls,86078976,7382a5bb98a8c1b76f12373db382453481b5e8321a08cc640c71c65b74c4885e,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/16.xls,50713088,4087ee850a0e3634bb8bc29427c647807d05b44d4c40de6912d78e017f940faa,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/16__1.xls,93639168,de1636177ec15a987e4d7c2d3e5ab4b5a20e7f6a92f38888b942448aa213826e,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/16__2.xls,78230528,7cb87d15732dd56523e5146b7619fe6bc33a71559df7c623025bf300c65d4494,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/17.xls,50615808,daefaad3150c74b10df77a116771945b2f31d18c320b543e0e8af9b8b96ba68d,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/17__1.xls,93040640,2f1fb8b865d23a55285d2befbb6b1c4b2918b80d3d23e2944e46fe18aa697b2d,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/17__2.xls,84833792,d7a6b7ea96db92f687e21f661e654d4763f446260059a5d9e7ca71e63b7d58c0,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/18.xls,50746880,187a5a6ffe25bffa9f376c84da9d6340e0cd5836455137fb75295fefd0d8d1b7,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
batch3/18__1.xls,93794816,5acc3b850c166ba5af9f8b6f98553b007bb5d507ffc50c2ff5f330f46c4d04c9,OLE_CFB,false,BLOCKED_ROW_PARSE,unclassified_record_types,0,0,false,false
