dataset_unit_key,endpoint,status,lower_time_h,upper_time_h,lower_open,upper_closed,last_non_crossing_index_0based,first_crossing_index_0based,censor_time_h,censor_type,threshold,termination_reason,rul_score_eligible
stress2:column:01,capacity_loss_20pct,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,20,unknown,False
stress2:column:01,esr_increase_100pct,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,100,unknown,False
stress2:column:01,capacity_or_esr,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,1,unknown,False
stress2:column:02,capacity_loss_20pct,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
stress2:column:02,esr_increase_100pct,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,100,unknown,False
stress2:column:02,capacity_or_esr,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
stress2:column:03,capacity_loss_20pct,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
stress2:column:03,esr_increase_100pct,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,100,unknown,False
stress2:column:03,capacity_or_esr,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
stress2:column:04,capacity_loss_20pct,interval_crossing,161,171,True,True,8,9,NA,NA,20,unknown,False
stress2:column:04,esr_increase_100pct,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,100,unknown,False
stress2:column:04,capacity_or_esr,interval_crossing,161,171,True,True,8,9,NA,NA,20,unknown,False
stress2:column:05,capacity_loss_20pct,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
stress2:column:05,esr_increase_100pct,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,100,unknown,False
stress2:column:05,capacity_or_esr,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
stress2:column:06,capacity_loss_20pct,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
stress2:column:06,esr_increase_100pct,not_observed_through_last_measurement,194,NA,True,False,10,NA,194,unknown_termination_not_administrative,100,unknown,False
stress2:column:06,capacity_or_esr,interval_crossing,171,194,True,True,9,10,NA,NA,20,unknown,False
