model,target,horizon_event_steps,outer_test_unit,planned_count,predicted_count,matured_count,failed_count,metric_status,mae,rmse,mase_training_scale,mase,last_value_mae,relative_mae_vs_last_value,skill_vs_last_value,comparison_status
exponential,capacity_ratio,1,stress2:column:01,8,8,8,0,OK,0.0090331338036407083,0.010451715554256735,0.021647333333999999,0.41728621554752787,0.020258749999999964,0.44588801400089956,0.55411198599910039,OK
exponential,capacity_ratio,1,stress2:column:02,8,8,8,0,OK,0.010331654515013,0.01271114901051624,0.020801333333999996,0.49668232074940133,0.024991249999999965,0.41341087440656288,0.58658912559343712,OK
exponential,capacity_ratio,1,stress2:column:03,8,8,8,0,OK,0.0098745105778937914,0.012757855365412412,0.020928333333999995,0.47182498578860765,0.024326249999999994,0.40591996620497584,0.59408003379502416,OK
exponential,capacity_ratio,1,stress2:column:04,8,8,8,0,OK,0.010850901465346438,0.014081480290353904,0.020602333333999998,0.52668313289734092,0.026016249999999977,0.41708168799678846,0.58291831200321154,OK
exponential,capacity_ratio,1,stress2:column:05,8,8,8,0,OK,0.0095959868746140348,0.012272026365832935,0.020978,0.45743096933044308,0.024040416671249967,0.3991605888466116,0.60083941115338835,OK
exponential,capacity_ratio,1,stress2:column:06,8,8,8,0,OK,0.012376097646355333,0.015630124910282747,0.020729333334,0.59703307612195167,0.025612499999999969,0.48320537418664122,0.51679462581335878,OK
exponential,capacity_ratio,2,stress2:column:01,7,7,7,0,OK,0.018452602122674459,0.020140310108474981,0.021647333333999999,0.85241917967291647,0.04352285714285712,0.42397497163632009,0.57602502836367986,OK
exponential,capacity_ratio,2,stress2:column:02,7,7,7,0,OK,0.022178918405068884,0.024515887666903529,0.020801333333999996,1.0662258062475838,0.053278571428571411,0.41628215266250768,0.58371784733749232,OK
exponential,capacity_ratio,2,stress2:column:03,7,7,7,0,OK,0.021355959266996103,0.024023915853525663,0.020928333333999995,1.0204328708918924,0.051874285714285713,0.41168681116152434,0.58831318883847561,OK
exponential,capacity_ratio,2,stress2:column:04,7,7,7,0,OK,0.024658276956317234,0.027125024681111602,0.020602333333999998,1.196868168112964,0.054818571428571418,0.44981611730701448,0.55018388269298546,OK
exponential,capacity_ratio,2,stress2:column:05,7,7,7,0,OK,0.021857928495018934,0.023769066079235238,0.020978,1.041945299600483,0.050521904767142835,0.43264260513856051,0.56735739486143943,OK
exponential,capacity_ratio,2,stress2:column:06,7,7,7,0,OK,0.024937176401760693,0.029424079402579521,0.020729333334,1.2029897922891248,0.051042857142857119,0.48855369384921615,0.5114463061507839,OK
exponential,capacity_ratio,3,stress2:column:01,6,6,6,0,OK,0.03232829772766771,0.034049260860568323,0.021647333333999999,1.4934078590129087,0.06578666666666666,0.49141109233382213,0.50858890766617781,OK
exponential,capacity_ratio,3,stress2:column:02,6,6,6,0,OK,0.038828893510576855,0.040837930400164368,0.020801333333999996,1.8666540690980911,0.080658333333333318,0.48139965092150255,0.51860034907849739,OK
exponential,capacity_ratio,3,stress2:column:03,6,6,6,0,OK,0.037332725829345458,0.039246148595356307,0.020928333333999995,1.7838365451058171,0.079050000000000009,0.4722672464180323,0.5277327535819677,OK
exponential,capacity_ratio,3,stress2:column:04,6,6,6,0,OK,0.041205243356364475,0.042789684175572384,0.020602333333999998,2.000027991410251,0.082054999999999975,0.50216614900206558,0.49783385099793442,OK
exponential,capacity_ratio,3,stress2:column:05,6,6,6,0,OK,0.036723042312006703,0.037690675475048716,0.020978,1.7505502103158881,0.075804444456666661,0.48444444880800225,0.51555555119199781,OK
exponential,capacity_ratio,3,stress2:column:06,6,6,6,0,OK,0.038903764824989716,0.040932716127468835,0.020729333334,1.8767494447677309,0.075266666666666662,0.51687907207692274,0.48312092792307726,OK
exponential,esr_ratio,1,stress2:column:01,8,8,8,0,OK,0.032678999173877538,0.034709753893738302,0.052256633334000005,0.6253559995916429,0.045812500000000006,0.71332058224016448,0.28667941775983552,OK
exponential,esr_ratio,1,stress2:column:02,8,8,8,0,OK,0.035510723203981881,0.03961147005778503,0.052756633334000005,0.67310442232287648,0.04197625000000002,0.84597178652170846,0.15402821347829154,OK
exponential,esr_ratio,1,stress2:column:03,8,8,8,0,OK,0.031839325638601867,0.035605219947092877,0.052486833334000005,0.60661548080053318,0.044166250000000018,0.72089719273431307,0.27910280726568693,OK
exponential,esr_ratio,1,stress2:column:04,8,8,8,0,OK,0.03285162165599434,0.038644709712371328,0.052305033334000009,0.62807763540109807,0.045388749999999978,0.72378335283510464,0.27621664716489536,OK
exponential,esr_ratio,1,stress2:column:05,8,8,8,0,OK,0.033716793375774601,0.036882142291061404,0.05245940000000001,0.64272167382346335,0.04432166667500001,0.76072936568499638,0.23927063431500362,OK
exponential,esr_ratio,1,stress2:column:06,8,8,8,0,OK,0.038195918462119921,0.041536263994932612,0.052558633334000002,0.72672967387474119,0.043762499999999982,0.87280019336463721,0.12719980663536279,OK
exponential,esr_ratio,2,stress2:column:01,7,7,7,0,OK,0.058393396025074304,0.066028527362256964,0.052256633334000005,1.1174350948299898,0.092250000000000013,0.63299074281923351,0.36700925718076649,OK
exponential,esr_ratio,2,stress2:column:02,7,7,7,0,OK,0.067258439488143668,0.078064603328517349,0.052756633334000005,1.2748811900549708,0.083544285714285724,0.8050633135839087,0.1949366864160913,OK
exponential,esr_ratio,2,stress2:column:03,7,7,7,0,OK,0.05908069034270115,0.070815866281003892,0.052486833334000005,1.1256287832558145,0.087617142857142866,0.67430514641444594,0.32569485358555406,OK
exponential,esr_ratio,2,stress2:column:04,7,7,7,0,OK,0.063364171121501195,0.074585623856002606,0.052305033334000009,1.2114354409619004,0.090268571428571434,0.70195163298491536,0.29804836701508464,OK
exponential,esr_ratio,2,stress2:column:05,7,7,7,0,OK,0.060873806553689729,0.071467687401839092,0.05245940000000001,1.1603984520160298,0.088819285714285698,0.6853669905600106,0.3146330094399894,OK
exponential,esr_ratio,2,stress2:column:06,7,7,7,0,OK,0.064874537109007493,0.074140164992204272,0.052558633334000002,1.2343269410515736,0.088265714285714267,0.73499135688190298,0.26500864311809702,OK
exponential,esr_ratio,3,stress2:column:01,6,6,6,0,OK,0.098000988227490551,0.10574966953598486,0.052256633334000005,1.8753789131633105,0.14390833333333333,0.68099592259533648,0.31900407740466352,OK
exponential,esr_ratio,3,stress2:column:02,6,6,6,0,OK,0.097172646282937578,0.12637404792923357,0.052756633334000005,1.8419038543976392,0.12661333333333336,0.76747561828352118,0.23252438171647882,OK
exponential,esr_ratio,3,stress2:column:03,6,6,6,0,OK,0.10015564548952031,0.11558135311250646,0.052486833334000005,1.9082051464636813,0.13432333333333335,0.74563103076795023,0.25436896923204977,OK
exponential,esr_ratio,3,stress2:column:04,6,6,6,0,OK,0.087264017357343418,0.11388142861797852,0.052305033334000009,1.6683674934323942,0.14016833333333334,0.62256584837761797,0.37743415162238203,OK
exponential,esr_ratio,3,stress2:column:05,6,6,6,0,OK,0.094307285130779198,0.11310153286869346,0.05245940000000001,1.7977194769818026,0.13672777778333334,0.68974488329813943,0.31025511670186057,OK
exponential,esr_ratio,3,stress2:column:06,6,6,6,0,OK,0.095751467315289648,0.11524909089399908,0.052558633334000002,1.8218028369727099,0.13498499999999994,0.70934894481082855,0.29065105518917145,OK
global_drift,capacity_ratio,1,stress2:column:01,8,8,8,0,OK,0.010440813492063467,0.01230968447395734,0.021647333333999999,0.48231407217556854,0.020258749999999964,0.51537303595056383,0.48462696404943617,OK
global_drift,capacity_ratio,1,stress2:column:02,8,8,8,0,OK,0.011881091269841298,0.014570272399676306,0.020801333333999996,0.57116969758960268,0.024991249999999965,0.47541004430916084,0.5245899556908391,OK
global_drift,capacity_ratio,1,stress2:column:03,8,8,8,0,OK,0.011491403769841244,0.014119170617494963,0.020928333333999995,0.54908355990165758,0.024326249999999994,0.47238697990200901,0.52761302009799094,OK
global_drift,capacity_ratio,1,stress2:column:04,8,8,8,0,OK,0.012828306547619031,0.01602819588008652,0.020602333333999998,0.62266279938537339,0.026016249999999977,0.49308822553669507,0.50691177446330493,OK
global_drift,capacity_ratio,1,stress2:column:05,8,8,8,0,OK,0.01181638442824004,0.014079185872145034,0.020978,0.56327507046620462,0.024040416671249967,0.49152161502971381,0.50847838497028619,OK
global_drift,capacity_ratio,1,stress2:column:06,8,8,8,0,OK,0.014450962301587211,0.01758503572969192,0.020729333334,0.69712624466725703,0.025612499999999969,0.56421521919325446,0.43578478080674554,OK
global_drift,capacity_ratio,2,stress2:column:01,7,7,7,0,OK,0.023628843537414963,0.025123820337761272,0.021647333333999999,1.0915359953506485,0.04352285714285712,0.54290653437243097,0.45709346562756903,OK
global_drift,capacity_ratio,2,stress2:column:02,7,7,7,0,OK,0.027634081632653049,0.029879980334353323,0.020801333333999996,1.3284764581645763,0.053278571428571411,0.51867159519659845,0.48132840480340155,OK
global_drift,capacity_ratio,2,stress2:column:03,7,7,7,0,OK,0.02687717687074823,0.029259266412252228,0.020928333333999995,1.2842483174273507,0.051874285714285713,0.51812138713163036,0.48187861286836964,OK
global_drift,capacity_ratio,2,stress2:column:04,7,7,7,0,OK,0.029248034013605349,0.033028136205444161,0.020602333333999998,1.4196466749393557,0.054818571428571418,0.53354243373006405,0.46645756626993595,OK
global_drift,capacity_ratio,2,stress2:column:05,7,7,7,0,OK,0.026942846944707451,0.029357289340298916,0.020978,1.2843382088238846,0.050521904767142835,0.53329040282404117,0.46670959717595883,OK
global_drift,capacity_ratio,2,stress2:column:06,7,7,7,0,OK,0.029086326530612178,0.034494422604712749,0.020729333334,1.4031481891848947,0.051042857142857119,0.56984126984126882,0.43015873015873118,OK
global_drift,capacity_ratio,3,stress2:column:01,6,6,6,0,OK,0.038447142857142826,0.039688400340636545,0.021647333333999999,1.776068315849163,0.06578666666666666,0.5844215067461922,0.4155784932538078,OK
global_drift,capacity_ratio,3,stress2:column:02,6,6,6,0,OK,0.045130476190476145,0.046568837732856402,0.020801333333999996,2.1695953555395371,0.080658333333333318,0.55952651543105059,0.44047348456894941,OK
global_drift,capacity_ratio,3,stress2:column:03,6,6,6,0,OK,0.044488809523809514,0.045444372263330493,0.020928333333999995,2.1257693488441034,0.079050000000000009,0.56279328935875406,0.43720671064124594,OK
global_drift,capacity_ratio,3,stress2:column:04,6,6,6,0,OK,0.04652530952380949,0.049372815482510865,0.020602333333999998,2.2582543816543752,0.082054999999999975,0.5670015175651637,0.4329984824348363,OK
global_drift,capacity_ratio,3,stress2:column:05,6,6,6,0,OK,0.043069634936154753,0.044433265029559833,0.020978,2.0530858488013517,0.075804444456666661,0.56816767466418616,0.43183232533581384,OK
global_drift,capacity_ratio,3,stress2:column:06,6,6,6,0,OK,0.044767738095238097,0.048977447139640973,0.020729333334,2.1596323130088604,0.075266666666666662,0.59478837150449204,0.40521162849550796,OK
global_drift,esr_ratio,1,stress2:column:01,8,8,8,0,OK,0.028316076388888861,0.032324909348078495,0.052256633334000005,0.541865684455899,0.045812500000000006,0.61808625132635975,0.38191374867364025,OK
global_drift,esr_ratio,1,stress2:column:02,8,8,8,0,OK,0.029499956845238123,0.032874098328437178,0.052756633334000005,0.55917057213403187,0.04197625000000002,0.70277732873322674,0.29722267126677326,OK
global_drift,esr_ratio,1,stress2:column:03,8,8,8,0,OK,0.028511001984126982,0.033393870806429998,0.052486833334000005,0.54320293630018024,0.044166250000000018,0.64553821037844439,0.35446178962155561,OK
