model,target,horizon_event_steps,outer_test_unit,planned_count,predicted_count,matured_count,failed_count,metric_status,mae,rmse,mase_training_scale,mase,last_value_mae,relative_mae_vs_last_value,skill_vs_last_value,comparison_status
exponential,capacity_ratio,1,stress2:column:01,7,7,7,0,OK,0.010028393838723988,0.011146025636948062,0.021647333333999999,0.46326231891911923,0.022649999999999965,0.4427546948664019,0.55724530513359816,OK
exponential,capacity_ratio,1,stress2:column:02,7,7,7,0,OK,0.011580280443302853,0.013575473280493772,0.020801333333999996,0.55670856561751092,0.027628571428571398,0.41914148450424021,0.58085851549575973,OK
exponential,capacity_ratio,1,stress2:column:03,7,7,7,0,OK,0.011123230979631511,0.01363199094054816,0.020928333333999995,0.53149148582992045,0.026917142857142844,0.4132396606380459,0.58676033936195404,OK
exponential,capacity_ratio,1,stress2:column:04,7,7,7,0,OK,0.01202174550771056,0.015020251608196191,0.020602333333999998,0.58351378520175146,0.028849999999999962,0.4166982844960338,0.58330171550396614,OK
exponential,capacity_ratio,1,stress2:column:05,7,7,7,0,OK,0.010706514440443651,0.013101255631652219,0.020978,0.51036869293753695,0.026713809528571386,0.40078575947742107,0.59921424052257888,OK
exponential,capacity_ratio,1,stress2:column:06,7,7,7,0,OK,0.013835799129573525,0.016689383560569197,0.020729333334,0.66745026994573986,0.028642857142857098,0.48304535614471233,0.51695464385528767,OK
exponential,capacity_ratio,2,stress2:column:01,6,6,6,0,OK,0.020627773496939394,0.021641964014806867,0.021647333333999999,0.95290136566339789,0.047924999999999975,0.43041780901282012,0.56958219098717988,OK
exponential,capacity_ratio,2,stress2:column:02,6,6,6,0,OK,0.02498381361943371,0.026389971524225231,0.020801333333999996,1.2010678939795367,0.05853666666666666,0.4268062232122381,0.57319377678776195,OK
exponential,capacity_ratio,2,stress2:column:03,6,6,6,0,OK,0.024110434960243992,0.025873794575534025,0.020928333333999995,1.1520475412666704,0.057199999999999994,0.42151110070356634,0.57848889929643366,OK
exponential,capacity_ratio,2,stress2:column:04,6,6,6,0,OK,0.0283766451845745,0.029282689215827207,0.020602333333999998,1.3773510371150324,0.060574999999999969,0.46845472859388387,0.53154527140611618,OK
exponential,capacity_ratio,2,stress2:column:05,6,6,6,0,OK,0.024697996856850351,0.025598082718408782,0.020978,1.1773284801625679,0.05566888889499997,0.44365887926081204,0.55634112073918796,OK
exponential,capacity_ratio,2,stress2:column:06,6,6,6,0,OK,0.028621178296233285,0.031760584368863053,0.020729333334,1.3807090577915102,0.056716666666666637,0.50463435138818635,0.49536564861181365,OK
