model,target,horizon_event_steps,n_units,planned_count,failed_count,aggregate_status,macro_mae,macro_rmse,macro_mase,macro_relative_mae_vs_last_value,macro_skill_vs_last_value,comparison_status
exponential,capacity_ratio,1,6,42,0,OK,0.011549327389897682,0.013860730109734598,0.55213251974192978,0.42927754002114255,0.57072245997885729,OK
exponential,capacity_ratio,2,6,36,0,OK,0.025236307069045876,0.026757847736277526,1.2069008959964524,0.44924718202858444,0.55075281797141562,OK
exponential,capacity_ratio,3,6,30,0,OK,0.040815096150124554,0.041915379645144767,1.9513394983997554,0.49202283220818055,0.50797716779181956,OK
exponential,esr_ratio,1,6,42,0,OK,0.035810433988673417,0.039535009086272353,0.68243177610975936,0.91102373392578107,0.088976266074218976,OK
exponential,esr_ratio,2,6,36,0,OK,0.060194227499644683,0.072061709488663597,1.1470458491013606,0.74096089167329682,0.25903910832670313,OK
exponential,esr_ratio,3,6,30,0,OK,0.084527876939411176,0.10649696826671068,1.6109846236868173,0.65272785417172408,0.34727214582827592,OK
global_drift,capacity_ratio,1,6,42,0,OK,0.013523016535203292,0.015771966538805523,0.6465201600931747,0.5024834976391418,0.49751650236085815,OK
global_drift,capacity_ratio,2,6,36,0,OK,0.031198458334394132,0.032571820390337639,1.4914311785882843,0.55624909675858436,0.44375090324141558,OK
global_drift,capacity_ratio,3,6,30,0,OK,0.048439877780492836,0.049269595304592906,2.3152984892880677,0.58450609285985544,0.41549390714014445,OK
global_drift,esr_ratio,1,6,42,0,OK,0.031513693863614897,0.034854286608756516,0.60061059136692718,0.80106649884337688,0.19893350115662309,OK
global_drift,esr_ratio,2,6,36,0,OK,0.056484158399669283,0.063659332488806328,1.0763522913193635,0.69538276199765614,0.3046172380023438,OK
global_drift,esr_ratio,3,6,30,0,OK,0.080750880952738094,0.085565263079882173,1.5387615709395945,0.62463231210313974,0.37536768789686031,OK
last_value,capacity_ratio,1,6,42,0,OK,0.026900396826190446,0.028646590740130456,1.2860316175955309,1,0,OK
last_value,capacity_ratio,2,6,36,0,OK,0.056103703704722202,0.057822216657317481,2.6818427916059657,1,0,OK
last_value,capacity_ratio,3,6,30,0,OK,0.082933111113333319,0.084399089870269242,3.9640525130331223,1,0,OK
last_value,esr_ratio,1,6,42,0,OK,0.039371428571428564,0.04485768264115364,0.75042741096173049,1,0,OK
last_value,esr_ratio,2,6,36,0,OK,0.081535833333333335,0.086201243289862881,1.5541569450155601,1,0,OK
last_value,esr_ratio,3,6,30,0,OK,0.12977466666666668,0.1315523169795767,2.4736145434337087,1,0,OK
local_linear,capacity_ratio,1,6,42,0,OK,0.010578359790396841,0.012729689234271181,0.50584414704862291,0.39287606673985898,0.60712393326014102,OK
local_linear,capacity_ratio,2,6,36,0,OK,0.017561296295833275,0.020655329141220861,0.840578869350456,0.31180637601931316,0.68819362398068673,OK
local_linear,capacity_ratio,3,6,30,0,OK,0.028624611116333295,0.032456616644322887,1.3700125617032348,0.34460525742791659,0.6553947425720833,OK
local_linear,esr_ratio,1,6,42,0,OK,0.025214404766666629,0.031066792859111295,0.4805202525984551,0.64166112232452233,0.35833887767547773,OK
local_linear,esr_ratio,2,6,36,0,OK,0.040835239192592618,0.051041650291067657,0.77806443797720515,0.50308102300930979,0.49691897699069026,OK
local_linear,esr_ratio,3,6,30,0,OK,0.055775425921111142,0.064394610684210804,1.0625909860478613,0.43269868368566639,0.56730131631433356,OK
local_trend_kf,capacity_ratio,1,6,42,0,OK,0.010478894981066258,0.012224232931211039,0.50086798962280099,0.3900607775582996,0.6099392224417004,OK
local_trend_kf,capacity_ratio,2,6,36,0,OK,0.020990725983006622,0.023074942174760832,1.0039877530654959,0.37356884167362847,0.62643115832637142,OK
local_trend_kf,capacity_ratio,3,6,30,0,OK,0.03485204730501669,0.036605378830623134,1.6665757014087841,0.42003107403213297,0.57996892596786698,OK
local_trend_kf,esr_ratio,1,6,42,0,OK,0.026727673039790258,0.029142411139627913,0.50938371795904069,0.6795185421569937,0.32048145784300625,OK
local_trend_kf,esr_ratio,2,6,36,0,OK,0.041809312867590098,0.050365659636286253,0.79665959054475921,0.51494625848840481,0.48505374151159519,OK
local_trend_kf,esr_ratio,3,6,30,0,OK,0.047389154425510331,0.05890762084894996,0.90303070250070905,0.36662749566352676,0.63337250433647319,OK
ridge,capacity_ratio,1,6,42,0,OK,0.0070735758718676539,0.0089580591732453235,0.33691217768942683,0.26828973108592874,0.7317102689140712,OK
ridge,capacity_ratio,2,6,36,0,OK,0.0079755348278252574,0.0098863179784109689,0.37945347641199162,0.14597041018033904,0.85402958981966093,OK
ridge,capacity_ratio,3,6,30,0,OK,0.0086342745812939669,0.010210024169725647,0.41212511102867194,0.10621701942393565,0.89378298057606431,OK
ridge,esr_ratio,1,6,42,0,OK,0.01258207396719521,0.015921652082870923,0.23975387776960896,0.32053027838009535,0.67946972161990471,OK
ridge,esr_ratio,2,6,36,0,OK,0.017384087868273824,0.019553266678964499,0.33129729768373406,0.21367536529113229,0.78632463470886771,OK
ridge,esr_ratio,3,6,30,0,OK,0.014161165453538597,0.016263722257989298,0.26992507080983086,0.10912892902730696,0.89087107097269314,OK
