model,target,horizon_event_steps,n_units,planned_count,failed_count,aggregate_status,macro_mae,macro_rmse,macro_mase,macro_relative_mae_vs_last_value,macro_skill_vs_last_value,comparison_status
exponential,capacity_ratio,1,6,36,0,OK,0.012448820952087242,0.014742662687811612,0.59528449466388778,0.42776120079317009,0.57223879920682996,OK
exponential,capacity_ratio,2,6,30,0,OK,0.025546851616722821,0.027282764908986169,1.2220871628203851,0.42756217170265232,0.57243782829734757,OK
exponential,capacity_ratio,3,6,24,0,OK,0.040501201630900638,0.041747039720217149,1.9369371816613821,0.46137875300767472,0.53862124699232516,OK
exponential,esr_ratio,1,6,36,0,OK,0.033318225133476702,0.037168128738873062,0.63488649884525084,0.89944772103771031,0.10055227896228969,OK
exponential,esr_ratio,2,6,30,0,OK,0.049027521669431785,0.059134976107697745,0.93425226289608521,0.61680895672996983,0.38319104327003012,OK
exponential,esr_ratio,3,6,24,0,OK,0.06034669310190971,0.076774091756768956,1.1502518450685406,0.4723787011600884,0.5276212988399116,OK
global_drift,capacity_ratio,1,6,36,0,OK,0.014632871143014967,0.016790469409463996,0.69974090203038875,0.50272448069793285,0.49727551930206726,OK
global_drift,capacity_ratio,2,6,30,0,OK,0.03254192777893964,0.033927063926216881,1.5559123003227555,0.54579148267650357,0.45420851732349643,OK
global_drift,capacity_ratio,3,6,24,0,OK,0.049824638892282704,0.050634385729110054,2.381990865495399,0.56844616590760633,0.43155383409239367,OK
global_drift,esr_ratio,1,6,36,0,OK,0.031544618147365526,0.035241345901387007,0.60115354507080565,0.84940070220554753,0.15059929779445239,OK
global_drift,esr_ratio,2,6,30,0,OK,0.052476730818492058,0.060307224929066344,0.99999212673642324,0.66099248510142083,0.33900751489857917,OK
global_drift,esr_ratio,3,6,24,0,OK,0.072486240078422567,0.076493281197103816,1.3812931728018336,0.56783462148864106,0.43216537851135889,OK
last_value,capacity_ratio,1,6,36,0,OK,0.02906342592694441,0.030409062993742297,1.3895622576594313,1,0,OK
last_value,capacity_ratio,2,6,30,0,OK,0.059604888889999985,0.060933382865222159,2.8493454084470784,1,0,OK
last_value,capacity_ratio,3,6,24,0,OK,0.087647430558333336,0.088714756503238748,4.189694343620042,1,0,OK
last_value,esr_ratio,1,6,36,0,OK,0.037315509261111109,0.043483361160608684,0.71130189968039492,1,0,OK
last_value,esr_ratio,2,6,30,0,OK,0.079933222223333336,0.085359190370957475,1.5236056177481256,1,0,OK
last_value,esr_ratio,3,6,24,0,OK,0.12839437500000003,0.13045660088404398,2.4472769593197468,1,0,OK
local_linear,capacity_ratio,1,6,36,0,OK,0.010613240739722224,0.012840633621440035,0.50762936520728108,0.364712068571656,0.63528793142834405,OK
local_linear,capacity_ratio,2,6,30,0,OK,0.015497111110666628,0.018725643784083458,0.74239153681194081,0.25820950261545045,0.7417904973845495,OK
local_linear,capacity_ratio,3,6,24,0,OK,0.023780138895833306,0.026628207685340719,1.1394497202166953,0.26940054259399254,0.73059945740600751,OK
local_linear,esr_ratio,1,6,36,0,OK,0.024983981483333282,0.031542450885245939,0.47605758475476678,0.67439120926919127,0.32560879073080873,OK
local_linear,esr_ratio,2,6,30,0,OK,0.035935064807222243,0.046810183213261747,0.68468347358847248,0.45308229301780972,0.54691770698219033,OK
local_linear,esr_ratio,3,6,24,0,OK,0.047904590279722194,0.056079699831528447,0.9128020082313214,0.375246567458068,0.62475343254193205,OK
local_trend_kf,capacity_ratio,1,6,36,0,OK,0.011197377737030681,0.012944530751416281,0.53534832056395076,0.3854286284896708,0.61457137151032926,OK
local_trend_kf,capacity_ratio,2,6,30,0,OK,0.020451600487218047,0.022891783301036292,0.97856127655208658,0.34206820730109194,0.657931792698908,OK
local_trend_kf,capacity_ratio,3,6,24,0,OK,0.0330632570120327,0.034900958824307465,1.5817376716644933,0.37631793218039106,0.623682067819609,OK
local_trend_kf,esr_ratio,1,6,36,0,OK,0.026887119201181326,0.029498448867507746,0.51237421166366082,0.72511523019696522,0.27488476980303478,OK
local_trend_kf,esr_ratio,2,6,30,0,OK,0.03704350561177485,0.046103060970770653,0.70583881334086429,0.46697966238212146,0.53302033761787848,OK
local_trend_kf,esr_ratio,3,6,24,0,OK,0.034843534878843369,0.043932330907899782,0.66398451813455683,0.27293385403760634,0.72706614596239361,OK
ridge,capacity_ratio,1,6,36,0,OK,0.0074628280000552175,0.009499190940732349,0.35505584721598527,0.26400847898675034,0.73599152101324972,OK
ridge,capacity_ratio,2,6,30,0,OK,0.008556050030931248,0.010356517217324765,0.4075626656172151,0.14700965387584899,0.85299034612415114,OK
ridge,capacity_ratio,3,6,24,0,OK,0.0094701809174015435,0.011243300265330464,0.45201029227613948,0.10981455099154543,0.89018544900845453,OK
ridge,esr_ratio,1,6,36,0,OK,0.012841124968954979,0.016259996829927171,0.24476996496431938,0.3440008676840729,0.6559991323159271,OK
ridge,esr_ratio,2,6,30,0,OK,0.017352941255286681,0.019661670901627393,0.33070536663414696,0.21819724518916953,0.7818027548108305,OK
ridge,esr_ratio,3,6,24,0,OK,0.014957409614079034,0.016847187571532116,0.2851415115102196,0.11584559369489472,0.88415440630510522,OK
